Sample ID,Description
mx2010h,Mexico 2010 Q1 LFS
mx2010i,Mexico 2010 Q2 LFS
mx2010j,Mexico 2010 Q3 LFS
mx2010k,Mexico 2010 Q4 LFS
mx2011h,Mexico 2011 Q1 LFS
mx2011i,Mexico 2011 Q2 LFS
mx2011j,Mexico 2011 Q3 LFS
mx2011k,Mexico 2011 Q4 LFS
mx2012h,Mexico 2012 Q1 LFS
mx2012i,Mexico 2012 Q2 LFS
mx2012j,Mexico 2012 Q3 LFS
mx2012k,Mexico 2012 Q4 LFS
mx2013h,Mexico 2013 Q1 LFS
mx2013i,Mexico 2013 Q2 LFS
mx2013j,Mexico 2013 Q3 LFS
mx2013k,Mexico 2013 Q4 LFS
mx2014h,Mexico 2014 Q1 LFS
mx2014i,Mexico 2014 Q2 LFS
mx2014j,Mexico 2014 Q3 LFS
mx2014k,Mexico 2014 Q4 LFS
mx2015a,Mexico 2015
mx2015h,Mexico 2015 Q1 LFS
mx2015i,Mexico 2015 Q2 LFS
mx2015j,Mexico 2015 Q3 LFS
mx2015k,Mexico 2015 Q4 LFS
mx2016h,Mexico 2016 Q1 LFS
mx2016i,Mexico 2016 Q2 LFS
mx2016j,Mexico 2016 Q3 LFS
mx2016k,Mexico 2016 Q4 LFS
mx2017h,Mexico 2017 Q1 LFS
mx2017i,Mexico 2017 Q2 LFS
mx2017j,Mexico 2017 Q3 LFS
mx2017k,Mexico 2017 Q4 LFS
mx2018h,Mexico 2018 Q1 LFS
mx2018i,Mexico 2018 Q2 LFS
mx2018j,Mexico 2018 Q3 LFS
mx2018k,Mexico 2018 Q4 LFS
mx2019h,Mexico 2019 Q1 LFS
mx2019i,Mexico 2019 Q2 LFS
mx2019j,Mexico 2019 Q3 LFS
mx2019k,Mexico 2019 Q4 LFS
mx2020h,Mexico 2020 Q1 LFS
mx2020j,Mexico 2020 Q3 LFS
my1970a,Malaysia 1970
my1980a,Malaysia 1980
my1991a,Malaysia 1991
my2000a,Malaysia 2000
mz1997a,Mozambique 1997
mz2007a,Mozambique 2007
ng2006a,Nigeria 2006-07
ng2007a,Nigeria 2007-08
ng2008a,Nigeria 2008-09
ng2009a,Nigeria 2009-10
ng2010a,Nigeria 2010-11
ni1971a,Nicaragua 1971
ni1995a,Nicaragua 1995
ni2005a,Nicaragua 2005
nl1960a,Netherlands 1960
nl1971a,Netherlands 1971
nl2001a,Netherlands 2001
nl2011a,Netherlands 2011
no1801a,Norway 1801
no1865a,Norway 1865
no1875a,Norway 1875
